source_provider,source_clip_id,semantic_unit_ids,member_pose_ids,library_numbers,reason_codes,disposition,requested_by,requested_at
CMU,cmu:117_10,"[""pose:cmu_117_10_00516_ground""]","[""cmu_117_10_00516_ground"", ""cmu_117_10_00516_ground_mirror""]","[""BVH-000345"", ""BVH-000346""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_12,"[""pose:cmu_117_12_01268""]","[""cmu_117_12_01268"", ""cmu_117_12_01268_mirror""]","[""BVH-000347"", ""BVH-000348""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_13,"[""pose:cmu_117_13_01149""]","[""cmu_117_13_01149"", ""cmu_117_13_01149_mirror""]","[""BVH-000349"", ""BVH-000350""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_14,"[""pose:cmu_117_14_01598""]","[""cmu_117_14_01598"", ""cmu_117_14_01598_mirror""]","[""BVH-000351"", ""BVH-000352""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_15,"[""pose:cmu_117_15_00713""]","[""cmu_117_15_00713"", ""cmu_117_15_00713_mirror""]","[""BVH-000353"", ""BVH-000354""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_02,"[""pose:cmu_121_02_00360""]","[""cmu_121_02_00360"", ""cmu_121_02_00360_mirror""]","[""BVH-000369"", ""BVH-000370""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_07,"[""pose:cmu_121_07_00711"", ""pose:cmu_121_07_00757""]","[""cmu_121_07_00711"", ""cmu_121_07_00711_mirror"", ""cmu_121_07_00757"", ""cmu_121_07_00757_mirror""]","[""BVH-000371"", ""BVH-000372"", ""BVH-000373"", ""BVH-000374""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_14,"[""pose:cmu_121_14_00472""]","[""cmu_121_14_00472"", ""cmu_121_14_00472_mirror""]","[""BVH-000375"", ""BVH-000376""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_15,"[""pose:cmu_121_15_00457_ground""]","[""cmu_121_15_00457_ground"", ""cmu_121_15_00457_ground_mirror""]","[""BVH-000377"", ""BVH-000378""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_17,"[""pose:cmu_121_17_00372""]","[""cmu_121_17_00372"", ""cmu_121_17_00372_mirror""]","[""BVH-000379"", ""BVH-000380""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_25,"[""pose:cmu_121_25_00908"", ""pose:cmu_121_25_01201""]","[""cmu_121_25_00908"", ""cmu_121_25_00908_mirror"", ""cmu_121_25_01201"", ""cmu_121_25_01201_mirror""]","[""BVH-000381"", ""BVH-000382"", ""BVH-000383"", ""BVH-000384""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_28,"[""pose:cmu_121_28_00572_ground""]","[""cmu_121_28_00572_ground"", ""cmu_121_28_00572_ground_mirror""]","[""BVH-000385"", ""BVH-000386""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_29,"[""pose:cmu_121_29_00190_ground""]","[""cmu_121_29_00190_ground"", ""cmu_121_29_00190_ground_mirror""]","[""BVH-000387"", ""BVH-000388""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:121_30,"[""pose:cmu_121_30_00955""]","[""cmu_121_30_00955"", ""cmu_121_30_00955_mirror""]","[""BVH-000389"", ""BVH-000390""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:122_11,"[""pose:cmu_122_11_00096""]","[""cmu_122_11_00096"", ""cmu_122_11_00096_mirror""]","[""BVH-000391"", ""BVH-000392""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:63_04,"[""pose:cmu_63_04_00333""]","[""cmu_63_04_00333"", ""cmu_63_04_00333_mirror""]","[""BVH-000647"", ""BVH-000648""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:63_21,"[""pose:cmu_63_21_00312_ground""]","[""cmu_63_21_00312_ground"", ""cmu_63_21_00312_ground_mirror""]","[""BVH-000649"", ""BVH-000650""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:80_67,"[""pose:cmu_80_67_01745""]","[""cmu_80_67_01745"", ""cmu_80_67_01745_mirror""]","[""BVH-000705"", ""BVH-000706""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:94_04,"[""pose:cmu_94_04_00299""]","[""cmu_94_04_00299"", ""cmu_94_04_00299_mirror""]","[""BVH-000775"", ""BVH-000776""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:94_09,"[""pose:cmu_94_09_00946""]","[""cmu_94_09_00946"", ""cmu_94_09_00946_mirror""]","[""BVH-000777"", ""BVH-000778""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:94_13,"[""pose:cmu_94_13_00950""]","[""cmu_94_13_00950"", ""cmu_94_13_00950_mirror""]","[""BVH-000779"", ""BVH-000780""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:94_14,"[""pose:cmu_94_14_00998""]","[""cmu_94_14_00998"", ""cmu_94_14_00998_mirror""]","[""BVH-000781"", ""BVH-000782""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:94_15,"[""pose:cmu_94_15_00315""]","[""cmu_94_15_00315"", ""cmu_94_15_00315_mirror""]","[""BVH-000783"", ""BVH-000784""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
